Джгут венозний зелений Ампрі, шт
Джгут венозний синій Ампрі, шт
Джгут венозний червоний Ампрі, шт
Рукавички латексні Care Protect світло-бежеві без напилення L, пар
Рукавички латексні Care Protect світло-бежеві без напилення S, пар
Рукавички латексні Care Protect світло-бежеві без напилення XL, пар
Рукавички латексні Care Protect світло-бежеві без напилення М, пар
Рукавички латексні Care Protect світло-бежеві без напилення ХS, пар
Рукавички латексні Protect з напиленням L, пар
Рукавички латексні Protect з напиленням S, пар
Рукавички латексні Protect з напиленням М, пар
Рукавички нестерильні і латексні білі з напиленням Basic Plus роз.L, пар
Рукавички нестерильні і латексні білі з напиленням Basic Plus роз.S, пар
Рукавички нестерильні і латексні латек.білі з напиленням Basic Plus  роз.M, пар
Рукавички нестерильні і латексні світло-беж без напилення Basic Touch роз.M, пар
Рукавички нітрилові сині Protect  розм. L, пар
Рукавички нітрилові сині Protect  розм. S, пар
Рукавички нітрилові сині Protect  розм. М, пар
Рукавички нітрілові голубі без пудри Sky Basic Plus роз.L, пар
Рукавички нітрілові голубі без пудри Sky Basic Plus роз.M, пар
Рукавички нітрілові голубі без пудри Sky Basic Plus роз.S, пар
Рукавички нітрілові голубі без пудри Sky Basic Plus роз.S, пар
