Голка  Мефил колюча 3 - 0,75м.(полігліколід) 30мм, шт
Голка  Мефил ріжуча 2 - 0,75м.(полігліколід) 20мм, шт
Кетгут стерильний №2 І-1,5м. в пак. Біополімер, шт
Кетгут стерильний №3  І-1,5м в пак. Біополімер, шт
Кетгут стерильний №4  І-1,5м в пак. Біополімер, шт
Нитка капрон стер.в пакетах 2,5 -1,25м Біополімер, шт
Нитка капрон стер.в пакетах 4 -1,25м Біополімер, шт
Нитка капрон стер.в пакетах 5 -1,25м Біополімер, шт
Нитка капрон стер.з атравм.голкою кол. 2,5-0,75м  20мм. Біополімер, шт
Нитка капрон стер.з атравм.голкою кол. 4 -0,75м  25 мм. Біополімер, шт
Нитка капрон стер.з атравм.голкою кол. 5 -0,75м  35 мм. Біополімер, шт
Нитка кетгут  стер. з атравм.голкою(колюча) .0,75м.  №3 Біополімер, шт
Нитка кетгут  стер. пак.0,75  №2  Біополімер, шт
Нитка кетгут  стер. пак.0,75  №3  Біополімер, шт
Нитка кетгут  стер. пак.0,75  №3  голка колюча Біополімер, шт
Нитка кетгут  стер. пак.0,75  №3  голка ріжуча Біополімер, шт
Нитка кетгут  стер. пак.0,75  №4  Біополімер, шт
Нитка кетгут  стер. пак.0,75  №4  голка колюча Біополімер, шт
Нитка кетгут  стер. пак.0,75  №5  Біополімер, шт
Нитка кетгут  стер. пак.0,75  №6  Біополімер, шт
Нитка кетгут  стер. пак.0,75  №7  Біополімер, шт
Нитка кетгут  стер. пак.1,5м.  №2   Біополімер, шт
Нитка кетгут  стер. пак.1,5м.  №3  Біополімер, шт
Нитка кетгут  стер. пак.1,5м.  №4  Біополімер, шт
Нитка кетгут  стер. пак.1,5м.  №5  Біополімер, шт
Нитка кетгут  стер. пак.1,5м.  №6  Біополімер, шт
Нитка кетгут  стер. пак.1,5м.  №7  Біополімер, шт
Нитка кетгут стер в ампулах 0,75м.№8 Біополімер, шт
Нитка шовк  стер. пак. №2 1,25м.Біополімер, шт
Нитка шовк  стер. пак. №3 1,25м.Біополімер, шт
Нитка шовк  стер. пак. №4  1,25м.Біополімер, шт
Нитка шовк  стер. пак. №6  1,25м.Біополімер, шт
Нитка шовк  стер. пак. №8  1,25м.Біополімер, шт
Нитка шовк  стер.з атравм.голкою(колюча) №2  0,75.Біополімер, шт
Нитка шовк  стер.з атравм.голкою(колюча) №3 0,75.Біополімер, шт
Нитка шовк  стер.з атравм.голкою(колюча) №4  0,75.Біополімер, шт
Шовк №2 стерильний 1,25м в пакетах, шт
Шовк №3  стерильний 1,25м в пакетах, шт
Шовк №6 стерильний 1,25м в пакетах, шт
