Бинт марлевий н/ст 500*10 Гемопласт-Полісся, шт
Бинт марлевий н/ст 700*14 Гемопласт -Полісся, шт
Бинт марлевий стерильний 500*10 Гемопласт-Полісся , шт
Бинт марлевий стерильний 700*14 Гемопласт -Полісся Україна , шт
Вата н/ст 100г Зиг-заг Гемопласт-Полісся, шт
Вата н/ст 25г Ролик Гемопласт-Полісся, шт
Вата н/ст 50 гРолик Гемопласт-Полісся, шт
Відріз марлевий мед.н/стер 100*90 Гемопласт-Полісся Україна , шт
Відріз марлевий мед.н/стер 1000*90 Гемопласт-Полісся Україна , шт
Відріз марлевий мед.н/стер 300*90 Гемопласт-Полісся Україна , шт
Відріз марлевий мед.н/стер 500*90 Гемопласт-Полісся , шт
Марля медична х/б в рулонах 90см ( густ 27,8), рулон
