Бинт марлевий н/ст 500*10 Екобинт  , шт
Бинт марлевий н/ст 700*14 Екобинт Україна , шт
Бинт марлевий стерильний 500*10 Екобинт Україна , шт
Бинт марлевий стерильний 700*14 Екобинт Україна , шт
Вата н/ст 100г Зигзаг Екобинт Україна , шт
Вата н/ст 100г Ролик Екобинт  Укр, шт
Вата н/ст 25г Ролик Екобинт Україна , шт
Вата н/ст 50 гРолик Екобинт Україна , шт
Вата н/ст 50г Зиг-заг Екобинт Україна , шт
Вата стерильна 25г Ролик Екобинт Україна , шт
Вата стерильна 50г Ролик Екобинт Україна , шт
Відріз марлевий мед.н/стер 100*90 Екобинт Україна , шт
Відріз марлевий мед.н/стер 200*90 Екобинт Україна , шт
Відріз марлевий мед.н/стер 300*90 Екобинт, шт
Відріз марлевий мед.н/стер 500*90 Екобинт Україна , шт
Набір гінекологічний огл.№10 Paramed, шт
Набір гінекологічний огл.№1стерил Paramed, шт
Набір гінекологічний огл.№2 Paramed, шт
Набір гінекологічний огл.№3 Paramed, шт
Набір гінекологічний огл.№5 Paramed стер., шт
