Вимірювач АТ LD-23 цифровий автомат, шт
Вимірювач АТ LD-30 цифровий автомат, шт
Вимірювач АТ LD-60 фонендоск.вмонт.в манж , шт
Вимірювач АТ LD-71 фонендоскоп в комплекті  Little Doctor, шт
Вимірювач АТ LD-71А фонендоскоп вмонтований в манжету Little Doctor, шт
Вимірювач АТ LD-80  без фонендоскопа(3  дит.манжети) Little Doctor, шт
Вимірювач АТ LD-80 фонендоскоп в комплекті з 4ма манжетами, шт
Вимірювач АТ LD-91 комбін.з фонендоскопом Little Doctor, шт
Манжета д/немовлят 7-12 см. 2тр., шт
Манжета дитяча 18-26см 2 тр хл С2С, шт
Манжета дитяча 18-26см 2 тр хл С2С-1, шт
Манжета для малюків 11-19см 2 тр хл С2І, шт
Стетоскоп LD Prof-2 педіатричний (жовтий), шт
Стетоскоп LD Prof-2 педіатричний (синій), шт
Стетоскоп LD Prof-plus (кольорова гамма в ассориіменті), шт
Стетоскоп LD Spesial SLDE - тип Раппопорта, шт
