Кушетка процедурна з регулюємим підголовником КРП, шт
Кушетка-лавка КС, шт
Опромінювач бактерицидний настінний ОБН-75М , шт
Опромінювач фізіотерапевтичний ОФП-01 М, шт
Підставка під бікс ПБ, шт
Ростомір дитячий РД , шт
Ростомір настінний РН-2000 , шт
Ростомір підлоговий РП -2000 , шт
Ростомір РПВ -2000 з механічними вагами, шт
Ростомір РПВе-2000 з електронними вагами , шт
Стерелізатор повітряний ГП -40, шт
Столик інструментальний СІ-5, шт
Столик Маніпуляційний   СМ-3, шт
Таблиця для перевірки гостроти зору Сивцева , шт
Таблиця Рабкіна для дослідження кольоросприйняття , шт
Шафа медична ШМ-1, шт
Ширма для кабінетів і палат 2-х секційна ШП-2, шт
Ширма для кабінетів і палат 3-х секційна ШП-3, шт
Штатив для довготривалих  вливань пересуврний ШДВ-П, шт
Штатив для довготривалих  вливань пересуврний ШДВ-У, шт
