Лампа бактерицидна F30 T8 G13, шт
Опромінювач бактерицидний настінний ОБН-150М , шт
Опромінювач бактерицидний настінний ОБН-15М з 2-ма лампами Укр, шт
Опромінювач бактерицидний настінний ОБН-35М , шт
Опромінювач бактерицидний настінний ОБН-75М , шт
Опромінювач фізіотерапевтичний ОКН-011М, шт
Парафінонагрівач ПР-02, шт
Парафінонагрівач ПР-06, шт
Стерелізатор повітряний ГП -20м, шт
Сумка-укладка медсестри(фельдшера) СУМ, шт
Сумка-укладка саквояж терапевта СУТ , шт
Сумка-холодильник переносна СХП-01, шт
Таблиці для перевірки гостроти зору (набір), шт
