Марля медична відбілена Rauder в рулоні 90см*1000м (Shaoxing), шт
Система ПР для переливання інфузійного розчину з голкою 0,8*40мм Rauder, шт
Шприц 2-х компонентний одноразовий стерильний 2мл з голкою  Rauder, шт
Шприц 2-х компонентний одноразовий стерильний 5мл з голкою  Rauder, шт
Шприц 2-х компонентний одноразового застосування 10мл стерильний Rauder, шт
Шприц 2-х компонентний одноразового застосування 20мл стерильний Rauder, шт
Шприц 3-х комп. ін'єкційний однораз. 1.0 мл.туберкуліновий з голкою Rauder, шт
Шприц 3-х компонентний одноразовий стерильний 10 мл з голкою 0.8*38мм Rauder, шт
Шприц 3-х компонентний одноразовий стерильний 2 мл з голкою  Rauder, шт
Шприц 3-х компонентний одноразовий стерильний 5мл з голкою 0.7*38мм Rauder, шт
Шприц 3-х компонентний одноразовий стерильний інсуліновий 1мл  U100  Rauder, шт
