Гель для УЗД вис.в'язкості блакит.ЕКО GEL,1000гр.ЕВV1000 , шт
Гель для УЗД вис.в'язкості блакит.ЕКО GEL,5000гр.пакет(стандартне пак.)ЕВVS5000 stp, шт
Гель електропровідний для ЕКГ/ЕЕГ/ЕМГ Zero Gel 250.гр, шт
Електрод однор.з адгезивної піни d-55мм -рідкий гель,F-55LG , шт
Папір для відеопринтерів 110*20 110S, рулон
Термопапір 110*25 (12)  стрічка діаграмна , рулон
Термопапір 112*150*300 Україна, шт
Термопапір 210*25 (12) стрічка діаграмна , рулон
Термопапір 50*30 (18)  стрічка діаграмна , рулон
Термопапір 50*50 (18)  стрічка діаграмна , рулон
Термопапір 57*18 (12)  стрічка діаграмна , рулон
Термопапір 57*25 (12) в рул.Україна, шт
Термопапір 80*23 (12) стрiчка дiаграмна, рулон
Термопапір 80*30 (12)  стрічка діаграмна Україна, рулон
