Гель для УЗД вис.в'язкості блакит.ЕКО GEL,1000гр.ЕВV1000 , шт
Гель для УЗД вис.в'язкості блакит.ЕКО GEL,5000гр.пакет(стандартне пак.)ЕВVS5000 stp, шт
Електрод однор,з адгезивної піни 32*40мм тверд. гель F-3240SG №50, шт
Електрод однор.з адгезивної піни d-55мм -рідкий гель,F-55LG , шт
Електрод одноразовий з адгезивної піни 50мм рідкий гель F 50 №30, шт
Електрод присоска грудний SSC(Ag-AgCl)  д-15мм, шт
Мундштук одноразовий 30/28/70мм, шт
Термопапір 104*100*300 Україна, уп
Термопапір 110*25 (12)  стрічка діаграмна , рулон
Термопапір 112   стрічка діаграмна , рулон
Термопапір 145*30 (18) стрічка діаграмна , рулон
Термопапір 50*20 (16)  стрічка діаграмна , рулон
Термопапір 50*50 (18)  стрічка діаграмна , рулон
Термопапір 57*18 (12)  стрічка діаграмна , рулон
Термопапір 58*30 (12)  стрічка діаграмна , рулон
Термопапір 63*30 (18)  стрічка діаграмна , рулон
Термопапір 80*23 (12) стрiчка дiаграмна, рулон
Термопапір 80*25 (12) стрiчка дiаграмна, рулон
Термопапір 80*30 (12)  стрічка діаграмна Україна, рулон
Термопапір 90*90*400 Україна, шт
